fiscal_year,accounts_payable,accrued_expenses,cash_and_equivalents,long_term_debt,short_term_debt,marketable_securities,total_assets,total_current_assets,total_current_liabilities,total_liabilities,stockholders_equity,deferred_revenue,capex,operating_cash_flow,depreciation_and_amortization,stock_based_compensation,net_income,cost_of_revenue,gross_profit,pretax_income,interest_expense,interest_income,operating_income,r_and_d,sga,revenue
2020,2.0,3.0,21.0,1.0,0.4,,47.0,41.0,12.0,15.0,33.0,5.0,0.7,-29.0,2.0,3.0,-22.0,0.9,4.0,-22.0,-5.0,,-31.0,20.0,15.0,5.0
2021,2.0,4.0,9.0,30.0,0.4,,29.0,16.0,10.0,48.0,-18.0,3.0,2.0,-35.0,2.0,2.0,-41.0,2.0,5.0,-41.0,-4.0,,-39.0,25.0,18.0,6.0
2022,4.0,7.0,7.0,31.0,2.0,,27.0,14.0,16.0,56.0,-29.0,2.0,0.4,-45.0,1.0,9.0,-54.0,3.0,4.0,-54.0,-2.0,,-59.0,32.0,32.0,7.0
2023,1.0,5.0,41.0,64.0,0.4,,59.0,47.0,11.0,84.0,-24.0,3.0,0.6,-61.0,1.0,22.0,-85.0,4.0,5.0,-85.0,-0.0,,-81.0,38.0,47.0,9.0
2024,0.8,9.0,178.0,30.0,0.3,,200.0,185.0,30.0,137.0,63.0,19.0,2.0,-43.0,1.0,16.0,-144.0,3.0,6.0,-144.0,-4.0,2.0,-77.0,35.0,47.0,9.0
2025,1.0,16.0,635.0,36.0,0.1,249.0,916.0,896.0,21.0,64.0,852.0,3.0,4.0,-72.0,2.0,23.0,-355.0,4.0,20.0,-355.0,-4.0,24.0,-100.0,51.0,70.0,25.0
