fiscal_year,revenue,revenue_growth,gross_profit,gross_margin,r_and_d,r_and_d_as_percent_revenue,sga,sga_as_percent_revenue,ebit,tax_rate,taxes,nopat,capex,capex_as_percent_revenue,working_capital_investment,working_capital_as_percent_revenue,free_cash_flow,diluted_shares,diluted_shares_growth,cash_and_equivalents,marketable_securities,total_debt,net_cash,notes
2026,44.257,0.8,34.52,0.78,66.385,1.5,88.513,2.0,-120.378,0.0,0.0,-120.378,3.541,0.08,2.213,0.05,-126.131,387440933.4,0.08,509.216,NA,NA,NA,High growth from a small revenue base; assumes continued commercialization but does not extrapolate the 2025 revenue spike.
2027,70.811,0.6,53.816,0.76,77.892,1.1,102.675,1.45,-126.751,0.0,0.0,-126.751,4.957,0.07,3.541,0.05,-135.248,414561798.738,0.07,373.968,NA,NA,NA,Revenue growth decelerates as the base expands; operating leverage begins to appear.
2028,102.675,0.45,75.98,0.74,82.14,0.8,107.809,1.05,-113.97,0.0,0.0,-113.97,6.161,0.06,4.107,0.04,-124.237,439435506.662,0.06,249.73,NA,NA,NA,Scaling phase with R&D and SG&A declining as a percentage of revenue.
2029,138.612,0.35,99.8,0.72,83.167,0.6,110.889,0.8,-94.256,0.0,0.0,-94.256,6.931,0.05,5.544,0.04,-106.731,461407281.995,0.05,142.999,NA,NA,NA,Continued commercial adoption with narrowing operating losses.
2030,177.423,0.28,124.196,0.7,79.84,0.45,106.454,0.6,-62.098,0.0,0.0,-62.098,8.871,0.05,5.323,0.03,-76.292,479863573.275,0.04,66.708,NA,NA,NA,Further operating leverage; tax remains zero due to expected loss carryforwards.
2031,216.456,0.22,147.19,0.68,75.76,0.35,97.405,0.45,-25.975,0.1,0.0,-25.975,8.658,0.04,6.494,0.03,-41.127,494259480.473,0.03,25.581,NA,NA,NA,"Approaching a more normalized operating structure, with lower opex intensity."
2032,255.418,0.18,168.576,0.66,76.625,0.3,89.396,0.35,2.554,0.15,0.383,2.171,10.217,0.04,7.663,0.03,-15.708,509087264.888,0.03,9.873,NA,NA,NA,Longer-term growth remains above mature technology companies but continues to decelerate.
