fiscal_year,revenue,gross_profit,r_and_d,sga,operating_income,net_income,cash_and_equivalents,marketable_securities,total_debt,operating_cash_flow,capex,free_cash_flow,shares_outstanding
2020,5.16,4.245,20.411,15.301,-31.467,-10.0,NA,NA,NA,-29.3,0.789,-30.089,NA
2021,6.279,4.529,25.401,18.076,-38.948,-31.5,9.5,NA,12.453,-34.8,1.999,-36.799,2817498.0
2022,7.173,4.25,32.101,31.607,-59.458,-51.5,7.1,NA,9.902,-45.2,0.498,-45.698,113335530.0
2023,8.758,4.622,37.878,47.29,-80.546,-82.7,41.307,NA,64.249,-60.6,0.63,-61.23,161113744.0
2024,8.827,5.563,35.3,47.486,-77.223,-143.879,177.98,0.0,30.476,-42.643,2.395,-45.038,266595867.0
2025,24.587,20.306,50.734,69.94,-100.368,-355.062,635.347,249.134,35.959,-71.982,4.307,-76.289,358741605.0
