fiscal_year,revenue,cost_of_revenue,gross_profit,r_and_d,sga,operating_income,ebitda,depreciation_and_amortization,interest_income,interest_expense,pretax_income,tax_expense,net_income,cash_and_equivalents,marketable_securities,total_debt,total_assets,total_liabilities,stockholders_equity,operating_cash_flow,capex,free_cash_flow,stock_based_compensation,shares_outstanding,weighted_average_basic_shares,weighted_average_diluted_shares,net_cash
2020,5.0,0.9,4.0,20.0,15.0,-31.0,-29.0,2.0,,-5.0,-22.0,,-22.0,21.0,,1.4,47.0,15.0,33.0,-29.0,0.7,-29.7,3.0,127.0,127.0,127.0,
2021,6.0,2.0,5.0,25.0,18.0,-39.0,-37.0,2.0,,-4.0,-41.0,,-41.0,9.0,,30.4,29.0,48.0,-18.0,-35.0,2.0,-37.0,2.0,125.0,125.0,125.0,
2022,7.0,3.0,4.0,32.0,32.0,-59.0,-58.0,1.0,,-2.0,-54.0,,-54.0,7.0,,33.0,27.0,56.0,-29.0,-45.0,0.4,-45.4,9.0,120.0,120.0,120.0,
2023,9.0,4.0,5.0,38.0,47.0,-81.0,-80.0,1.0,,-0.0,-85.0,,-85.0,41.0,,64.4,59.0,84.0,-24.0,-61.0,0.6,-61.6,22.0,138.0,138.0,138.0,
2024,9.0,3.0,6.0,35.0,47.0,-77.0,-76.0,1.0,2.0,-4.0,-144.0,,-144.0,178.0,,30.3,200.0,137.0,63.0,-43.0,2.0,-45.0,16.0,192.0,192.0,192.0,
2025,25.0,4.0,20.0,51.0,70.0,-100.0,-98.0,2.0,24.0,-4.0,-355.0,,-355.0,635.0,249.0,36.1,916.0,64.0,852.0,-72.0,4.0,-76.0,23.0,321.0,321.0,321.0,847.9
